pop2023,growthRate,country,cca3,region,subregion,landAreaKm,ranking.22,ranking.21,ranking.20,Education.Foreignborn,Education.Nativeborn,Migration.1,HDI.HDI,HDI.Mean_years_of_schooling,HDI.GNI,Happiness.Happiness2021,Happiness.Happiness2020,Happiness.ScoreChange
126527060,0.02551,Ethiopia,ETH,Africa,Eastern Africa-Sub-Saharan Africa,1128571.3,,,,,,,,,,4.275,4.186,0.089
1210822,0.00762,Eswatini,SWZ,Africa,Southern Africa-Sub-Saharan Africa,17200,,,,,,,,,,4.308,4.308,0.000
1322765,-0.00249,Estonia,EST,Europe,Northern Europe,42750,50,50,57,81.2,87.5,10309,0.890,13.5,38048,6.189,6.022,0.167
6364943,0.00451,ElSalvador,SLV,North America,Central America-Latin America,20720,80,71,68,,,,,,,,,
112716598,0.01556,Egypt,EGY,Africa,Northern Africa-The Middle East,995450,,103,,,,,,,,4.283,4.151,0.132
18190484,0.01053,Ecuador,ECU,South America,South America-Latin America,248360,89,73,64,,,,,,,5.764,5.925,-0.161
11332972,0.00928,DominicanRepublic,DOM,North America,Caribbean,48310,93,,,,,,,,,,,
5910913,0.00487,Denmark,DNK,Europe,Northern Europe,40000,,,,80.1,88.8,37810,0.948,13.0,60365,7.62,7.646,-0.026
10495295,0.00013,CzechRepublic,CZE,Europe,Eastern Europe,77198.5,52,16,23,83.5,85.9,53795,,,,,,
1260138,0.00691,Cyprus,CYP,Europe,Eastern Europe-The Middle East,9240,67,77,80,,,,0.896,12.4,38188,6.223,6.159,0.064
4008617,-0.00539,Croatia,HRV,Europe,Southern Europe,55960,34,21,32,,,,0.858,12.2,30132,5.882,5.505,0.377
5212173,0.00605,CostaRica,CRI,North America,Central America-Latin America,51060,66,84,88,,,,0.809,8.8,19974,,,
852075,0.01829,Comoros,COM,Africa,Eastern Africa-Sub-Saharan Africa,1861,,,,,,,,,,4.289,4.289,0.000
52085168,0.00407,Colombia,COL,South America,South America-Latin America,1109500,75,61,35,,,,,,,6.012,6.163,-0.151
1425671352,-0.00015,China,CHN,Asia,Eastern Asia,9424702.9,1,1,1,,,,0.768,7.6,17504,5.339,5.124,0.215
19629590,0.00132,Chile,CHL,South America,South America-Latin America,743532,,,,,,154551,0.855,10.9,24563,6.172,6.228,-0.056
18278568,0.03133,Chad,TCD,Africa,Middle Africa-Sub-Saharan Africa,1259200,,,,,,,,,,4.355,4.423,-0.068
38781291,0.0085,Canada,CAN,North America,Northern America,8965590,14,5,12,,,184585,0.936,13.8,46808,7.103,7.232,-0.129
28647293,0.02625,Cameroon,CMR,Africa,Middle Africa-Sub-Saharan Africa,472710,,,,,,,,,,5.142,5.085,0.057
16944826,0.01056,Cambodia,KHM,Asia,South-Eastern Asia,176520,,,,,,,,,,4.83,4.848,-0.018
13238559,0.02708,Burundi,BDI,Africa,Eastern Africa-Sub-Saharan Africa,25680,,,,,,,,,,3.775,3.775,0.000
23251485,0.02548,BurkinaFaso,BFA,Africa,Western Africa-Sub-Saharan Africa,273600,,,,,,,,,,,,
6687717,-0.0139,Bulgaria,BGR,Europe,Eastern Europe,108560,16,18,38,,,,0.795,11.4,23079,5.266,5.102,0.164
216422446,0.00515,Brazil,BRA,South America,South America-Latin America,8358140,19,35,10,,,,,,,6.33,6.376,-0.046
2675352,0.01713,Botswana,BWA,Africa,Southern Africa-Sub-Saharan Africa,566730,98,107,100,,,,,,,3.467,3.479,-0.012
3210847,-0.00701,BosniaandHerzegovina,BIH,Europe,Southern Europe,51200,36,40,56,,,,0.780,10.5,15242,,,
12388571,0.01345,Bolivia,BOL,South America,South America-Latin America,1083300,79,77,93,,,,,,,5.716,5.747,-0.031
13712828,0.02696,Benin,BEN,Africa,Western Africa-Sub-Saharan Africa,112760,,,,,,,,,,5.045,5.216,-0.171
11686140,0.00259,Belgium,BEL,Europe,Western Europe,30280,63,43,50,75.7,89.2,101553,0.937,12.4,52293,6.834,6.864,-0.030
9498238,-0.00385,Belarus,BLR,Europe,Eastern Europe,202980,31,24,45,,,,0.808,12.1,18849,5.534,5.54,-0.006
172954319,0.01033,Bangladesh,BGD,Asia,Southern Asia-South Central Asia,130170,57,43,38,,,,,,,5.025,4.833,0.192
1485509,0.00902,Bahrain,BHR,Asia,Western Asia-The Middle East,785,,,,,,,0.875,11.0,39497,6.647,6.227,0.420
10412651,0.00527,Azerbaijan,AZE,Asia,Western Asia,82646,34,51,65,,,,,,,5.171,5.165,0.006
8958960,0.00216,Austria,AUT,Europe,Western Europe,82520,56,64,65,78.1,89,121311,0.916,12.3,53619,7.268,7.294,-0.026
26439111,0.01,Australia,AUS,Oceania,Australia and New Zealand,7692020,29,18,8,,,137465,0.951,12.7,49238,7.183,7.223,-0.040
2777970,-0.0009,Armenia,ARM,Asia,Western Asia,28470,26,37,37,,,,,,,5.283,4.677,0.606
45773884,0.00579,Argentina,ARG,South America,South America-Latin America,2736690,42,46,50,,,,0.842,11.1,20925,5.929,5.975,-0.046
45606480,0.01566,Algeria,DZA,Africa,Northern Africa,2381741,,,,,,,,,,4.887,5.005,-0.118
2832439,-0.00348,Albania,ALB,Europe,Southern Europe,27400,77,94,77,,,,0.796,11.3,14131,5.117,4.883,0.234
42239854,0.02702,Afghanistan,AFG,Asia,South Central Asia-Southern Asia,652230,,,,,,,,,,2.523,2.567,-0.044
